TRAN_DT,TRAN_TMRG,TRAN_AMT,MD_TYPE,FND_TYPE,FF_SP_AI,Source,Target,source_fan_out,source_fan_in,source_gather_scatter,source_simple_cycle,source_bipartite,source_stack,target_fan_out,target_fan_in,target_gather_scatter,target_simple_cycle,target_bipartite,target_stack
20240229,3,475054,2,15,00,194_8266428710861671,122_4839807656212613,0,0,0,0,1,0,0,0,0,0,1,0
20240428,3,130629,6,30,SP,714_7810586476051201,125_7146012700096340,43,32,32,511,75,2071,44,34,34,508,78,2127
20230823,12,483125,6,16,SP,700_1400086102063774,714_7810586476051201,41,31,31,510,72,1936,43,32,32,511,75,2071
20230804,21,152679,4,4,02,171_3804683771266935,146_6146809693482040,0,0,0,0,1,0,0,0,0,0,1,0
20240319,15,785625,5,26,SP,182_6844483643679894,187_5869492094623316,0,0,0,0,1,0,0,0,0,0,1,0
20240607,8,573355,7,20,02,917_9821905184464824,195_2716626205917988,27,40,27,501,67,1678,0,0,0,0,1,40
20230711,12,237044,1,17,01,672_2425567546371265,917_9821905184464824,31,39,31,511,70,1904,27,40,27,501,67,1678
20240107,18,868000,3,27,SP,459_9771999429864325,917_9821905184464824,32,37,32,511,69,1879,27,40,27,501,67,1678
20240207,0,910255,1,22,SP,857_3947123346806583,186_2121466003379855,36,34,34,510,70,1875,0,0,0,0,1,34
20240115,3,397615,4,30,02,110_5964272622481446,143_6986919832108367,0,0,0,0,1,0,0,0,0,0,1,0
20230819,21,719912,5,3,SP,119_5954262710816203,166_6241850699839088,0,0,0,0,1,0,0,0,0,0,1,0
20240617,8,649655,8,23,01,194_6753529447531034,155_5710544487254172,0,0,0,0,1,0,0,0,0,0,1,0
20230729,12,169930,6,26,01,857_3947123346806583,179_4985403084171376,36,34,34,510,70,1875,0,0,0,0,1,34
20230729,21,813096,2,19,02,155_4995209398952791,700_1400086102063774,0,0,0,0,1,41,41,31,31,510,72,1936
20230814,0,579977,2,4,01,700_1400086102063774,134_4752329311853285,41,31,31,510,72,1936,0,0,0,0,1,31
20231231,0,32098,7,13,01,113_3475822001780621,359_8748289854730524,0,0,0,0,1,30,30,37,30,510,67,1774
20240121,3,660202,2,16,02,177_4974354216638935,200_7685059021513019,0,0,0,0,1,0,0,0,0,0,1,0
20240211,6,259282,2,21,01,777_1130092367040023,125_7146012700096340,31,36,31,503,67,1744,44,34,34,508,78,2127
20240314,8,718003,5,20,SP,459_9771999429864325,700_1400086102063774,32,37,32,511,69,1879,41,31,31,510,72,1936
20230720,3,104213,5,2,02,178_4844128912773444,152_4211913204710342,0,0,0,0,1,0,0,0,0,0,1,0
20231120,6,594648,3,1,SP,125_7146012700096340,147_6077448450203191,44,34,34,508,78,2127,0,0,0,0,1,34
20240308,15,905095,7,1,SP,145_5104194612248347,359_8748289854730524,0,0,0,0,1,30,30,37,30,510,67,1774
20240418,12,934826,1,30,00,187_8800730993346390,180_4311505581527284,0,0,0,0,1,0,0,0,0,0,1,0
20240608,18,27992,7,3,02,108_6980173560806171,196_6456073929236191,0,0,0,0,1,0,0,0,0,0,1,0
20231016,6,745019,2,18,02,158_1725249557939535,111_8495590345861291,0,0,0,0,1,0,0,0,0,0,1,0
20230828,6,736395,4,15,SP,714_7810586476051201,186_2298535729532011,43,32,32,511,75,2071,0,0,0,0,1,32
20240607,3,788715,5,25,01,125_4800808827503024,459_9771999429864325,0,0,0,0,1,32,32,37,32,511,69,1879
20240305,3,194873,7,11,01,777_1130092367040023,126_5465367948031142,31,36,31,503,67,1744,0,0,0,0,1,36
20240508,15,821189,2,17,SP,200_5372009898490777,700_1400086102063774,0,0,0,0,1,41,41,31,31,510,72,1936
20240310,12,264625,6,13,00,160_6040650133227528,714_7810586476051201,0,0,0,0,1,43,43,32,32,511,75,2071
20240321,18,398064,4,27,00,459_9771999429864325,459_9771999429864325,32,37,32,511,69,1879,32,37,32,511,69,1879
20231226,15,257645,6,19,02,197_1731726024203396,118_7558736130450315,0,0,0,0,1,0,0,0,0,0,1,0
20231002,21,310117,5,30,02,700_1400086102063774,857_3947123346806583,41,31,31,510,72,1936,36,34,34,510,70,1875
20231109,3,261143,7,2,01,117_8996150121379439,161_6226306470036439,0,0,0,0,1,0,0,0,0,0,1,0
20231122,21,523075,8,24,02,777_1130092367040023,129_4654325177923938,31,36,31,503,67,1744,0,0,0,0,1,36
20240112,6,617896,5,2,02,158_4287597461670105,183_1686907585881382,0,0,0,0,1,0,0,0,0,0,1,0
20240610,21,485311,4,30,02,125_7146012700096340,714_7810586476051201,44,34,34,508,78,2127,43,32,32,511,75,2071
20230811,6,353461,5,21,02,205_7764167623378289,193_4237259082898132,30,30,30,508,60,1521,0,0,0,0,1,30
20240226,21,181991,7,16,02,200_9473097740620218,120_7955946006491875,0,0,0,0,1,0,0,0,0,0,1,0
20231031,8,147648,5,21,02,672_2425567546371265,205_7764167623378289,31,39,31,511,70,1904,30,30,30,508,60,1521
20240313,8,5348,1,18,SP,359_8748289854730524,672_2425567546371265,30,37,30,510,67,1774,31,39,31,511,70,1904
20230803,21,522761,7,12,SP,205_7764167623378289,672_2425567546371265,30,30,30,508,60,1521,31,39,31,511,70,1904
20240614,12,229690,6,23,02,152_5002491997443170,109_8397291675671636,0,0,0,0,1,0,0,0,0,0,1,0
20240414,6,32696,4,21,SP,205_7764167623378289,149_5718777296943498,30,30,30,508,60,1521,0,0,0,0,1,30
20231127,12,368375,2,28,02,174_6932003810465445,125_7146012700096340,0,0,0,0,1,44,44,34,34,508,78,2127
20230701,0,72225,3,13,01,136_9381341515939650,459_9771999429864325,0,0,0,0,1,32,32,37,32,511,69,1879
20231013,15,867531,4,12,02,158_9058220662975340,140_4643801938901378,0,0,0,0,1,0,0,0,0,0,1,0
20231130,21,196113,4,16,SP,119_3852173207377045,777_1130092367040023,0,0,0,0,1,31,31,36,31,503,67,1744
20231112,18,64089,5,27,01,117_6006354587194085,777_1130092367040023,0,0,0,0,1,31,31,36,31,503,67,1744
20231012,18,975121,2,0,00,125_7146012700096340,180_8631415082028731,44,34,34,508,78,2127,0,0,0,0,1,34
20231207,0,848949,1,14,SP,672_2425567546371265,128_5831615414727255,31,39,31,511,70,1904,0,0,0,0,1,39
20230825,15,852963,5,28,01,103_4861598752050350,672_2425567546371265,0,0,0,0,1,31,31,39,31,511,70,1904
20230819,21,163021,4,3,01,101_7100992043294192,359_8748289854730524,0,0,0,0,1,30,30,37,30,510,67,1774
20240406,6,793191,5,15,01,152_6929469425937715,136_4203212455120558,0,0,0,0,1,0,0,0,0,0,1,0
20240322,8,424131,4,17,SP,777_1130092367040023,459_9771999429864325,31,36,31,503,67,1744,32,37,32,511,69,1879
20240207,12,7667,7,17,SP,459_9771999429864325,136_1483664005933259,32,37,32,511,69,1879,0,0,0,0,1,37
20240619,18,846994,8,23,02,714_7810586476051201,714_7810586476051201,43,32,32,511,75,2071,43,32,32,511,75,2071
20231126,15,356737,2,11,01,857_3947123346806583,857_3947123346806583,36,34,34,510,70,1875,36,34,34,510,70,1875
20240405,8,177794,8,30,01,714_7810586476051201,124_8467468224962538,43,32,32,511,75,2071,0,0,0,0,1,32
20240408,8,882158,3,27,02,103_9487349135861263,200_4277658758414130,0,0,0,0,1,0,0,0,0,0,1,0
20240324,12,639985,1,16,00,188_9607666589781304,459_9771999429864325,0,0,0,0,1,32,32,37,32,511,69,1879
20230914,0,468421,1,4,00,777_1130092367040023,178_9507012926882967,31,36,31,503,67,1744,0,0,0,0,1,36
20230804,21,234252,8,15,00,459_9771999429864325,173_3207474581752474,32,37,32,511,69,1879,0,0,0,0,1,37
20240315,0,401436,3,23,01,178_6662465411765202,672_2425567546371265,0,0,0,0,1,31,31,39,31,511,70,1904
20231108,6,632384,1,1,01,125_7146012700096340,777_1130092367040023,44,34,34,508,78,2127,31,36,31,503,67,1744
20240218,18,312447,7,19,01,102_4679028679017345,857_3947123346806583,0,0,0,0,1,36,36,34,34,510,70,1875
20240222,6,29174,4,19,02,714_7810586476051201,123_8023435667229971,43,32,32,511,75,2071,0,0,0,0,1,32
20231119,21,135931,2,20,02,174_3329054995403752,132_4163680329313585,0,0,0,0,1,0,0,0,0,0,1,0
20240504,6,17222,2,24,01,205_7764167623378289,857_3947123346806583,30,30,30,508,60,1521,36,34,34,510,70,1875
20240525,12,787612,1,30,SP,194_2802616762902414,359_8748289854730524,0,0,0,0,1,30,30,37,30,510,67,1774
20230813,12,29693,6,2,01,176_9015109960444965,700_1400086102063774,0,0,0,0,1,41,41,31,31,510,72,1936
20240329,0,572187,3,22,02,154_2855298955687148,917_9821905184464824,0,0,0,0,1,27,27,40,27,501,67,1678
20231119,12,328731,6,28,SP,917_9821905184464824,188_7776396896941837,27,40,27,501,67,1678,0,0,0,0,1,40
20230719,6,481384,1,1,02,777_1130092367040023,160_9267543393949719,31,36,31,503,67,1744,0,0,0,0,1,36
20230920,15,241779,3,0,02,137_7155735806049089,148_1874430840637030,0,0,0,0,1,0,0,0,0,0,1,0
20231003,12,981778,7,17,SP,714_7810586476051201,177_4307617604535005,43,32,32,511,75,2071,0,0,0,0,1,32
20230809,18,204799,1,3,SP,777_1130092367040023,169_5029058032875284,31,36,31,503,67,1744,0,0,0,0,1,36
20230816,3,716587,4,21,00,777_1130092367040023,205_7764167623378289,31,36,31,503,67,1744,30,30,30,508,60,1521
20240109,12,525405,8,12,SP,189_2349229224303929,103_6955594967564172,0,0,0,0,1,0,0,0,0,0,1,0
20231221,15,325198,5,25,02,917_9821905184464824,191_9579574867021552,27,40,27,501,67,1678,0,0,0,0,1,40
20240425,18,801726,1,4,00,672_2425567546371265,714_7810586476051201,31,39,31,511,70,1904,43,32,32,511,75,2071
20230827,6,514212,1,21,02,142_6722951639358844,672_2425567546371265,0,0,0,0,1,31,31,39,31,511,70,1904
20240103,15,953546,2,28,01,189_2785573597158934,179_7250339230980939,0,0,0,0,1,0,0,0,0,0,1,0
20240506,15,721778,5,0,SP,194_5737610441119034,134_7303687066503091,0,0,0,0,1,0,0,0,0,0,1,0
20240104,3,394112,7,0,02,136_7652944397986712,714_7810586476051201,0,0,0,0,1,43,43,32,32,511,75,2071
20240427,15,333362,3,12,SP,122_3374328976481236,164_8917922049127540,0,0,0,0,1,0,0,0,0,0,1,0
20231129,18,779555,4,19,SP,109_1484223179871710,169_3176717645281131,0,0,0,0,1,0,0,0,0,0,1,0
20230810,12,400605,5,22,01,459_9771999429864325,857_3947123346806583,32,37,32,511,69,1879,36,34,34,510,70,1875
20240320,8,662040,3,16,01,714_7810586476051201,672_2425567546371265,43,32,32,511,75,2071,31,39,31,511,70,1904
20240130,12,682574,5,16,01,142_7133734069444180,359_8748289854730524,0,0,0,0,1,30,30,37,30,510,67,1774
20240620,8,348638,1,18,01,459_9771999429864325,125_7146012700096340,32,37,32,511,69,1879,44,34,34,508,78,2127
20231016,15,524179,6,13,00,672_2425567546371265,672_2425567546371265,31,39,31,511,70,1904,31,39,31,511,70,1904
20240205,18,912996,8,30,SP,125_7146012700096340,714_7810586476051201,44,34,34,508,78,2127,43,32,32,511,75,2071
20231101,12,474831,1,22,SP,714_7810586476051201,198_3376182862071175,43,32,32,511,75,2071,0,0,0,0,1,32
20231015,8,401470,3,0,02,857_3947123346806583,140_1042520973809281,36,34,34,510,70,1875,0,0,0,0,1,34
20240131,21,206241,1,24,02,150_1507904654528529,179_3527171161406711,0,0,0,0,1,0,0,0,0,0,1,0
20240321,8,70889,8,16,00,120_4278252999880629,185_4215894614847188,0,0,0,0,1,0,0,0,0,0,1,0
20240308,6,87736,6,22,01,140_3192608871216766,714_7810586476051201,0,0,0,0,1,43,43,32,32,511,75,2071
20231205,15,398473,4,27,00,175_7536807377002830,158_4847289095141203,0,0,0,0,1,0,0,0,0,0,1,0
20240321,15,75578,5,11,SP,104_2345530686813222,777_1130092367040023,0,0,0,0,1,31,31,36,31,503,67,1744
20240522,21,45903,4,3,SP,714_7810586476051201,359_8748289854730524,43,32,32,511,75,2071,30,37,30,510,67,1774
20240418,21,993301,8,4,02,198_7790918890102785,714_7810586476051201,0,0,0,0,1,43,43,32,32,511,75,2071
20230919,3,807125,1,14,01,168_9367414228411308,149_6225028169273521,0,0,0,0,1,0,0,0,0,0,1,0
20230711,15,681155,3,16,00,359_8748289854730524,714_7810586476051201,30,37,30,510,67,1774,43,32,32,511,75,2071
20230910,0,362907,5,13,SP,165_5616200641559293,777_1130092367040023,0,0,0,0,1,31,31,36,31,503,67,1744
20231015,6,193337,5,21,01,137_8079716422252029,135_3719644973347696,0,0,0,0,1,0,0,0,0,0,1,0
20230902,21,792391,6,23,00,700_1400086102063774,121_7474326662157538,41,31,31,510,72,1936,0,0,0,0,1,31
20240503,18,158990,5,15,02,111_3881356121152863,183_2758752807301332,0,0,0,0,1,0,0,0,0,0,1,0
20230714,8,599522,4,17,00,459_9771999429864325,205_7764167623378289,32,37,32,511,69,1879,30,30,30,508,60,1521
20231125,8,140646,6,4,01,672_2425567546371265,155_3405026844808341,31,39,31,511,70,1904,0,0,0,0,1,39
20240331,18,547956,2,14,00,714_7810586476051201,459_9771999429864325,43,32,32,511,75,2071,32,37,32,511,69,1879
20231108,8,23765,6,1,00,171_6546250314157183,777_1130092367040023,0,0,0,0,1,31,31,36,31,503,67,1744
20240108,18,371747,2,4,SP,198_5596553442129602,134_3744748571561396,0,0,0,0,1,0,0,0,0,0,1,0
20230717,21,426558,4,23,00,169_8767426303831674,125_7146012700096340,0,0,0,0,1,44,44,34,34,508,78,2127
20230821,6,590205,7,14,02,118_1822109123279901,164_6146810384687999,0,0,0,0,1,0,0,0,0,0,1,0
20240202,21,92946,5,0,SP,177_5919836148235440,183_2473664477491316,0,0,0,0,1,0,0,0,0,0,1,0
20240621,3,561769,3,25,00,101_9879428691545364,118_8791356388298214,0,0,0,0,1,0,0,0,0,0,1,0
20240620,6,924817,2,2,01,169_5242476925159133,163_5789603234579525,0,0,0,0,1,0,0,0,0,0,1,0
20230919,21,936304,3,19,00,125_7146012700096340,133_8256760778147244,44,34,34,508,78,2127,0,0,0,0,1,34
20240520,0,198490,8,30,00,143_8414799838682479,165_4452821398728199,0,0,0,0,1,0,0,0,0,0,1,0
20240416,21,722822,6,2,00,109_5011348631575175,161_6413948389035383,0,0,0,0,1,0,0,0,0,0,1,0
20240401,18,572117,1,21,SP,917_9821905184464824,714_7810586476051201,27,40,27,501,67,1678,43,32,32,511,75,2071
20240509,12,748385,8,30,01,777_1130092367040023,117_5125908378081917,31,36,31,503,67,1744,0,0,0,0,1,36
20230707,6,378201,7,28,SP,857_3947123346806583,104_7200555822283267,36,34,34,510,70,1875,0,0,0,0,1,34
20230825,6,621053,2,22,01,192_1826894584641822,917_9821905184464824,0,0,0,0,1,27,27,40,27,501,67,1678
20231212,0,654732,1,18,00,777_1130092367040023,205_7764167623378289,31,36,31,503,67,1744,30,30,30,508,60,1521
20240523,0,799521,5,28,00,700_1400086102063774,131_4758314586147587,41,31,31,510,72,1936,0,0,0,0,1,31
20231112,21,5040,1,0,01,125_7146012700096340,125_5493144351461705,44,34,34,508,78,2127,0,0,0,0,1,34
20240113,0,724664,2,17,SP,171_7137206940173721,168_4747006102086329,0,0,0,0,1,0,0,0,0,0,1,0
20240626,21,752746,8,11,00,111_9460483126032822,777_1130092367040023,0,0,0,0,1,31,31,36,31,503,67,1744
20230817,12,818514,8,23,SP,136_2312277071958129,672_2425567546371265,0,0,0,0,1,31,31,39,31,511,70,1904
20240315,0,945000,1,13,SP,700_1400086102063774,714_7810586476051201,41,31,31,510,72,1936,43,32,32,511,75,2071
20240323,6,775203,2,1,00,700_1400086102063774,125_7146012700096340,41,31,31,510,72,1936,44,34,34,508,78,2127
20240526,21,888593,1,22,01,777_1130092367040023,857_3947123346806583,31,36,31,503,67,1744,36,34,34,510,70,1875
20240216,3,794842,6,15,00,122_8877346889354971,672_2425567546371265,0,0,0,0,1,31,31,39,31,511,70,1904
20231211,15,962840,4,13,01,136_6272749665556505,700_1400086102063774,0,0,0,0,1,41,41,31,31,510,72,1936
20240424,3,574090,2,24,01,700_1400086102063774,857_3947123346806583,41,31,31,510,72,1936,36,34,34,510,70,1875
20240607,12,775269,5,11,02,173_4070366916090958,102_4742649776497947,0,0,0,0,1,0,0,0,0,0,1,0
20240302,3,156504,3,0,SP,120_3583353373897953,714_7810586476051201,0,0,0,0,1,43,43,32,32,511,75,2071
20240113,0,936859,4,24,01,191_6280538626927383,200_1776424401556588,0,0,0,0,1,0,0,0,0,0,1,0
20240218,3,151657,7,24,02,142_6665387696238395,112_4844096344208266,0,0,0,0,1,0,0,0,0,0,1,0
20240327,0,71267,2,2,01,359_8748289854730524,857_3947123346806583,30,37,30,510,67,1774,36,34,34,510,70,1875
20240617,0,435999,5,3,00,672_2425567546371265,205_7764167623378289,31,39,31,511,70,1904,30,30,30,508,60,1521
20231121,8,782739,3,27,01,193_7468198990568266,777_1130092367040023,0,0,0,0,1,31,31,36,31,503,67,1744
20240521,12,546159,6,18,00,193_9388273909333368,359_8748289854730524,0,0,0,0,1,30,30,37,30,510,67,1774
20240512,6,502834,4,24,01,700_1400086102063774,672_2425567546371265,41,31,31,510,72,1936,31,39,31,511,70,1904
20240613,12,758738,8,4,02,187_9257742149749855,359_8748289854730524,0,0,0,0,1,30,30,37,30,510,67,1774
20240219,6,359948,3,30,SP,107_9042797636742330,700_1400086102063774,0,0,0,0,1,41,41,31,31,510,72,1936
20231201,3,148588,8,17,00,177_6269084725060984,105_7446203381107531,0,0,0,0,1,0,0,0,0,0,1,0
20230831,15,41946,6,1,02,125_7146012700096340,103_8051206788925182,44,34,34,508,78,2127,0,0,0,0,1,34
20230709,12,37830,7,2,SP,359_8748289854730524,160_8130013503383683,30,37,30,510,67,1774,0,0,0,0,1,37
20230725,18,986270,2,26,00,129_2207337370818239,459_9771999429864325,0,0,0,0,1,32,32,37,32,511,69,1879
20240206,6,634315,5,26,01,158_8637145042049812,139_1533212843842474,0,0,0,0,1,0,0,0,0,0,1,0
20240628,15,424253,4,4,02,107_5441071306333649,111_2803498263082456,0,0,0,0,1,0,0,0,0,0,1,0
20230705,3,740224,6,23,00,459_9771999429864325,140_2742769477926991,32,37,32,511,69,1879,0,0,0,0,1,37
20240205,15,183719,4,0,SP,700_1400086102063774,857_3947123346806583,41,31,31,510,72,1936,36,34,34,510,70,1875
20230709,15,328124,4,23,02,165_4136264539271166,700_1400086102063774,0,0,0,0,1,41,41,31,31,510,72,1936
20240327,18,861832,5,24,00,857_3947123346806583,917_9821905184464824,36,34,34,510,70,1875,27,40,27,501,67,1678
20230905,15,979854,7,14,01,917_9821905184464824,714_7810586476051201,27,40,27,501,67,1678,43,32,32,511,75,2071
20240211,18,954473,5,28,02,714_7810586476051201,714_7810586476051201,43,32,32,511,75,2071,43,32,32,511,75,2071
20230803,12,453750,1,26,00,103_2217500854092985,700_1400086102063774,0,0,0,0,1,41,41,31,31,510,72,1936
20240426,18,154359,8,27,00,157_1187434228515378,152_4526205795955702,0,0,0,0,1,0,0,0,0,0,1,0
20230730,15,987467,5,13,02,459_9771999429864325,917_9821905184464824,32,37,32,511,69,1879,27,40,27,501,67,1678
20240628,3,829526,3,26,02,700_1400086102063774,186_8979478828082458,41,31,31,510,72,1936,0,0,0,0,1,31
20240525,12,282868,3,11,01,131_4772787402562683,181_5215791143665219,0,0,0,0,1,0,0,0,0,0,1,0
20240311,6,134241,8,24,SP,192_2410683455160949,700_1400086102063774,0,0,0,0,1,41,41,31,31,510,72,1936
20240127,3,696419,3,28,02,672_2425567546371265,125_7146012700096340,31,39,31,511,70,1904,44,34,34,508,78,2127
20240527,8,185104,8,12,02,459_9771999429864325,101_3807298543826538,32,37,32,511,69,1879,0,0,0,0,1,37
20231215,8,484414,1,2,01,459_9771999429864325,142_6151595593456210,32,37,32,511,69,1879,0,0,0,0,1,37
20230708,12,125626,1,15,02,714_7810586476051201,167_6533057751732947,43,32,32,511,75,2071,0,0,0,0,1,32
20240330,3,741503,4,17,01,205_7764167623378289,459_9771999429864325,30,30,30,508,60,1521,32,37,32,511,69,1879
20230814,8,577419,6,23,SP,125_7146012700096340,459_9771999429864325,44,34,34,508,78,2127,32,37,32,511,69,1879
20230918,18,464892,6,4,SP,359_8748289854730524,777_1130092367040023,30,37,30,510,67,1774,31,36,31,503,67,1744
20240205,8,402681,7,24,01,115_8112092306194863,917_9821905184464824,0,0,0,0,1,27,27,40,27,501,67,1678
20240126,0,933438,2,14,SP,162_2330052192326975,714_7810586476051201,0,0,0,0,1,43,43,32,32,511,75,2071
20230715,12,114803,4,22,02,857_3947123346806583,672_2425567546371265,36,34,34,510,70,1875,31,39,31,511,70,1904
20240408,6,431603,6,16,01,125_7146012700096340,150_1163809100268852,44,34,34,508,78,2127,0,0,0,0,1,34
20231223,8,69310,4,27,01,857_3947123346806583,459_9771999429864325,36,34,34,510,70,1875,32,37,32,511,69,1879
20231110,12,754610,1,25,SP,159_6757687937553781,125_7146012700096340,0,0,0,0,1,44,44,34,34,508,78,2127
20240425,18,635496,7,28,SP,857_3947123346806583,714_7810586476051201,36,34,34,510,70,1875,43,32,32,511,75,2071
20240116,12,664072,2,14,01,714_7810586476051201,160_5477170044440883,43,32,32,511,75,2071,0,0,0,0,1,32
20231011,18,848395,5,19,01,123_7554717670383075,125_7146012700096340,0,0,0,0,1,44,44,34,34,508,78,2127
20240401,0,381028,8,19,SP,174_1201111431959801,163_7289836476400268,0,0,0,0,1,0,0,0,0,0,1,0
20231111,8,460388,4,26,01,700_1400086102063774,196_2314227357495614,41,31,31,510,72,1936,0,0,0,0,1,31
20240502,15,110171,4,24,02,672_2425567546371265,193_4124327904651530,31,39,31,511,70,1904,0,0,0,0,1,39
20230805,18,768048,7,15,02,124_4749675509022197,175_5582142001385627,0,0,0,0,1,0,0,0,0,0,1,0
20240615,6,141217,3,30,SP,205_7764167623378289,359_8748289854730524,30,30,30,508,60,1521,30,37,30,510,67,1774
20240412,21,698509,8,3,00,359_8748289854730524,125_7146012700096340,30,37,30,510,67,1774,44,34,34,508,78,2127
20230919,12,14219,2,28,00,700_1400086102063774,205_7764167623378289,41,31,31,510,72,1936,30,30,30,508,60,1521
20231210,12,656946,8,2,SP,134_2785916945915368,205_7764167623378289,0,0,0,0,1,30,30,30,30,508,60,1521
20230718,18,831375,8,12,00,205_7764167623378289,123_5609048701602293,30,30,30,508,60,1521,0,0,0,0,1,30
20240130,15,730707,5,27,02,127_3767045469652014,459_9771999429864325,0,0,0,0,1,32,32,37,32,511,69,1879
20240520,12,83284,6,17,02,459_9771999429864325,777_1130092367040023,32,37,32,511,69,1879,31,36,31,503,67,1744
20230730,21,505445,6,15,00,714_7810586476051201,777_1130092367040023,43,32,32,511,75,2071,31,36,31,503,67,1744
20240304,15,119295,4,23,01,205_7764167623378289,182_1310604744492670,30,30,30,508,60,1521,0,0,0,0,1,30
20240121,12,992737,5,11,SP,183_4587403176796286,857_3947123346806583,0,0,0,0,1,36,36,34,34,510,70,1875
20231231,8,383517,1,28,01,139_6266663620886148,164_8079508244287302,0,0,0,0,1,0,0,0,0,0,1,0
20231030,18,50725,1,12,02,132_5364886163056091,857_3947123346806583,0,0,0,0,1,36,36,34,34,510,70,1875
20240208,18,777525,6,25,00,183_1530389931632450,777_1130092367040023,0,0,0,0,1,31,31,36,31,503,67,1744
20240323,3,890252,1,16,01,777_1130092367040023,205_7764167623378289,31,36,31,503,67,1744,30,30,30,508,60,1521
20240321,0,125039,4,17,01,150_1844683010563909,672_2425567546371265,0,0,0,0,1,31,31,39,31,511,70,1904
20231123,6,700962,2,17,SP,459_9771999429864325,917_9821905184464824,32,37,32,511,69,1879,27,40,27,501,67,1678
20231204,15,461428,6,17,02,125_7146012700096340,857_3947123346806583,44,34,34,508,78,2127,36,34,34,510,70,1875
20240624,15,970287,4,18,SP,129_6557909322449338,142_5698175783037294,0,0,0,0,1,0,0,0,0,0,1,0
20230811,8,245435,6,17,SP,700_1400086102063774,857_3947123346806583,41,31,31,510,72,1936,36,34,34,510,70,1875
20231224,6,301657,2,27,02,125_7146012700096340,359_8748289854730524,44,34,34,508,78,2127,30,37,30,510,67,1774
20240227,18,726522,8,27,00,171_8417686166371546,143_1917555529717090,0,0,0,0,1,0,0,0,0,0,1,0
20230929,15,646268,2,11,SP,125_7146012700096340,700_1400086102063774,44,34,34,508,78,2127,41,31,31,510,72,1936
20230829,8,762300,6,16,02,359_8748289854730524,111_3111226954082753,30,37,30,510,67,1774,0,0,0,0,1,37
20240506,0,272766,8,25,02,106_3418190588606288,359_8748289854730524,0,0,0,0,1,30,30,37,30,510,67,1774
20240515,15,224416,7,28,SP,151_2841484158812257,186_1807589532757146,0,0,0,0,1,0,0,0,0,0,1,0
20230707,6,539362,3,14,SP,777_1130092367040023,122_5664095158437368,31,36,31,503,67,1744,0,0,0,0,1,36
20240430,18,795805,1,16,02,184_2780119331505372,917_9821905184464824,0,0,0,0,1,27,27,40,27,501,67,1678
20230830,6,355104,1,28,01,192_3492029260198022,178_8885026886794875,0,0,0,0,1,0,0,0,0,0,1,0
